POP,NAME
31.0,CN4593904198
1733.0,CN4668504445
1755.0,CN4670304619
38.0,JP103196
106.0,MH3006762
102.0,MH3006778
39.0,MH3006822
3.0,MH327-088-1
96.0,MH4370306053
148.0,MH4391806014
245.0,MH4393405533
163.0,MH4394705818
130.0,MH4394005887
124.0,MH4397604995
12.0,MH4399205858
133.0,MH4399805670
65.0,MH4400204910
58.0,MH4402205925
150.0,MH4404905513
75.0,MH4406705916
194.0,MH4406904926
35.0,MH4407705988
171.0,MH4409504848
63.0,MH4416405830
75.0,MH4418404731
94.0,MH4422705818
95.0,MH4424804803
55.0,MH4424104642
97.0,MH4425605964
146.0,MH4427004872
81.0,MH4429205507
26.0,MH4429405690
48.0,MH4430104695
100.0,MH4435404770
65.0,MH4435305589
22.0,MH4435904677
102.0,MH4435705847
46.0,MH4440405726
248.0,MH4441104471
4.0,MH4443505717
30.0,MH4443604654
42.0,MH4443704557
49.0,MH4443905716
61.0,MH4447804844
56.0,MH4448405916
77.0,MH4449704657
125.0,MH4449705693
95.0,MH4453305496
82.0,MH4453605609
59.0,MH4454005585
68.0,MH4454105889
71.0,MH4454704518
145.0,MH4454305498
18.0,MH4454605658
65.0,MH4454704562
91.0,MH4458705395
18.0,MH4463804663
46.0,MH4464204560
45.0,MH4463904729
55.0,MH4464204572
111.0,MH4464904406
75.0,MH4464604483
352.0,MH4465805436
493.0,MH4467905208
35.0,MH4468704665
73.0,MH4469504790
96.0,MH4469505709
130.0,MH4472005348
97.0,MH4473904571
20.0,MH4476004652
228.0,MH4477005173
75.0,MH4478905044
24.0,MH4479004669
9.0,MH4479804783
480.0,MH4480205404
22.0,MH4481204312
92.0,MH4483205399
27.0,MH4486504631
65.0,MH4487504513
237.0,MH4487704237
71.0,MH4488304360
94.0,MH4489405125
58.0,MH4490904604
176.0,MH4491405283
341.0,MH4491405475
81.0,MH4491905646
59.0,MH4493905112
161.0,MH4494404427
258.0,MH4498805505
32.0,MH4499704348
284.0,MH4500405660
79.0,MH4503705189
46.0,MH4503205151
91.0,MH4503805667
236.0,MH4504705374
100.0,MH4506804179
36.0,MH4507304267
317.0,MH4507904171
31.0,MH4508004382
43.0,MH4509004320
73.0,MH4510204869
64.0,MH4511205654
163.0,MH4512605698
21.0,MH4511904395
93.0,MH4512305552
92.0,MH4513305251
87.0,MH4517704834
23.0,MH4518204920
28.0,MH4518305332
91.0,MH4519505529
70.0,MH4521105420
34.0,MH4522005619
47.0,MH4522705319
45.0,MH4522605201
119.0,MH4525404698
9.0,MH4526705620
58.0,MH4526805051
54.0,MH4527105301
53.0,MH4527205122
153.0,MH4527605666
129.0,MH4528504807
54.0,MH4529305242
117.0,MH4530605770
51.0,MH4531305149
59.0,MH4531805455
83.0,MH4533705529
52.0,MH4534005372
96.0,MH4534404600
22.0,MH4536105183
20.0,MH4535705591
60.0,MH4536305430
115.0,MH4537205612
18.0,MH4538905255
87.0,MH4539304968
59.0,MH4540105249
82.0,MH4539305519
52.0,MH4539804599
175.0,MH4543905667
58.0,MH4545103795
148.0,MH4544804537
207.0,MH4549804890
53.0,MH4549005102
459.0,MH4550203755
20.0,MH4552505137
222.0,MH4552805628
127.0,MH4554204636
